fname,reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes,X1,reef_no;replicate;perimeter_m;area_m2;diam_longest_m;diam_perpendic_m;imagery_resolution_m;date;method;platform;imagery_type;provider;instrument;observer;notes,dt
data/Module1_MeasuringReefs_CP.csv,15,2,296.13,6702.62,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,15,3,296.04,6632.22,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_CP.csv,15,1,298.76,6738.83,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,15,2,296.6,6660.32,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,15,3,298.86,6573.55,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_CP.csv,15,1,289.09,6211.85,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,15,2,294.4,6548.46,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,15,3,291.03,6429.09,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_CP.csv,15,1,319.33,7600,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,15,2,290.8,6230,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,15,3,322.69,7640,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_CP.csv,15,1,254.94,4450,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,15,2,261.41,3870,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,15,3,293.89,5410,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_CP.csv,15,1,282.44,4550,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,15,2,280.37,4400,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,15,3,245.38,4300,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_CP.csv,15,1,267.59,5070,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,15,2,257.02,4390,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_CP.csv,15,3,237.68,3930,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,22,1,116.01,952.1,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,22,2,115.9,976.7,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,22,3,116.6,1012.1,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,22,1,114.85,915.4,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,22,2,111.8,938.1,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,22,3,121.6,1099.5,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,22,1,120.2,1054.8,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,22,2,123.3,1067.6,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,22,3,114.8,1070.2,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,22,1,117.2,1074.8,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,22,2,128.5,1251.7,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,22,3,127,1248.1,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,22,1,121.9,1270,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,22,2,130.7,1300,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,22,3,134.2,1140,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,22,1,113.3,922.1,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,22,2,111.2,1250,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,22,3,118.9,767.7,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,22,1,141.4,1580,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,22,2,131,1920,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,22,3,151.6,1970,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,22,1,230.7,6290,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,22,2,313.5,3620,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,22,3,301.7,7060,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,20,1,142.6,1606.4,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,20,2,145.33,1503,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,20,3,147.5,1633.5,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,20,1,134.7,1299.5,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,20,2,129,1201.4,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,20,3,129.8,1267,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,20,1,143.2,1558.3,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,20,2,146.5,1649.6,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,20,3,143.2,1562.6,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,20,1,144.2,1596.3,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,20,2,148.4,1671,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,20,3,151.3,1753.3,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,20,1,153,1860,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,20,2,150.3,1940,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,20,3,153.3,1870,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,20,1,138.8,1220,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,20,2,129.6,1330,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,20,3,135.7,1100,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
data/Module1_MeasuringReefs_EH.csv,20,1,147.7,2070,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,20,2,148.5,2560,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,20,3,148.7,2110,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,NA,NA,NA,2018-03-07
data/Module1_MeasuringReefs_EH.csv,20,1,242.5,4740,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,20,2,311.1,4e3,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,20,3,304.1,5220,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,NA,NA,NA,2019-03-28
data/Module1_MeasuringReefs_EH.csv,15,1,301.48,6210.6,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,15,2,289.5,6210.1,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,15,3,294,6516.9,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,EH,NA,NA,NA,2013-01-15
data/Module1_MeasuringReefs_EH.csv,15,1,275.5,5889.6,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,15,2,280.1,6124.5,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,15,3,289.6,6077.1,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",EH,NA,NA,NA,2013-08-22
data/Module1_MeasuringReefs_EH.csv,15,1,292.1,6583.3,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,15,2,295.9,6812.1,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,15,3,300,6913.12,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,NA,NA,NA,2011-01-08
data/Module1_MeasuringReefs_EH.csv,15,1,283.1,6050.4,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,15,2,293.2,6368.5,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,15,3,289,6440.5,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,NA,NA,NA,2003-04-12
data/Module1_MeasuringReefs_EH.csv,15,1,282.6,6830,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,15,2,292.1,6040,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,15,3,294.2,5770,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,NA,NA,NA,2019-03-16
data/Module1_MeasuringReefs_EH.csv,15,1,252.6,6220,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,NA,NA,NA,2016-02-08
